School_District,Account_Name,V_Counter,Description,Debit,Credit,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_year,BatchNo,Cancel_Flag,CP_Dummy,Unnamed_19,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code
Cordova City School District,550.Technology.Communications,11-09032018,att/bus/sept,26.85,0,9/3/2018,P,,109262018,10344,,101243,AT & T                        , 09-03-2018_       ,19,148,   ,11-09032018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,12-08022018,ctc/bus office,93.58,0,8/2/2018,P,,108262018,10012,,632,CORDOVA TELEPHONE CO-OP       , 08-02-2018_       ,19,92,   ,12-08022018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,13-11022018,bus share ctc-nov,94.12,0,11/2/2018,P,,111262018,11007,,632,CORDOVA TELEPHONE CO-OP       , 11-02-2018_       ,19,303,   ,13-11022018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,14-11012018,att/bus/portion/sept,24.22,0,11/1/2018,P,,111262018,11012,,101243,AT & T                        , 11-01-2018_       ,19,303,   ,14-11012018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,15-02012019,bus jan bill,30.61,0,2/1/2019,P,,102262019,11733,,101243,AT & T                        , 02-01-2019_       ,19,494,   ,15-02012019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,16-01242019,ctc-jan-19-bus,90.09,0,1/24/2019,P,,101262019,11483,,632,CORDOVA TELEPHONE CO-OP       , 01-24-2019_       ,19,441,   ,16-01242019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,17-12042018,bus-dec-share,94.12,0,12/4/2018,P,,112262018,11358,,632,CORDOVA TELEPHONE CO-OP       , 12-04-2018_       ,19,363,   ,17-12042018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,18-02262019,bus share march,90.09,0,2/26/2019,P,,102262019,11781,,632,CORDOVA TELEPHONE CO-OP       , 02-26-2019_       ,19,494,   ,18-02262019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,19-02262019,credit due march,1.12,0,2/26/2019,P,,102262019,11781,,632,CORDOVA TELEPHONE CO-OP       , 02-26-2019_       ,19,494,   ,19-02262019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,20-02262019,ctc erate march,6495,0,2/26/2019,P,,102262019,11781,,632,CORDOVA TELEPHONE CO-OP       , 02-26-2019_       ,19,494,   ,20-02262019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,2-10022018,att-bus,3.61,0,10/2/2018,P,,110262018,10810,,101243,AT & T                        , 10-02-2018_       ,19,249,   ,2-10022018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,21-12032018,bus-oct bill,30.36,0,12/3/2018,P,,112262018,11280,,101243,AT & T                        , 12-03-2018_       ,19,363,   ,21-12032018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,22-07032018,ctc-bus share,133.55,0,7/3/2018,P,,107262018,9801,,632,CORDOVA TELEPHONE CO-OP       , 07-03-2018_       ,19,24,   ,22-07032018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,23-07032018,bus portion,28.36,0,7/3/2018,P,,107262018,9802,,101243,AT & T                        , 07-03-2018_       ,19,24,   ,23-07032018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,24-07012018,AT&T Longdistance,0,28.36,7/1/2018,J,989,,,,         ,                              ,                   ,19,58,   ,24-07012018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,25-03012019,att-bus portion,28.81,0,3/1/2019,P,,103262019,12057,,101243,AT & T                        , 03-01-2019_       ,19,528,   ,25-03012019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,26-03012019,?????????????????186.43,19.78,0,3/1/2019,P,,103262019,12057,,101243,AT & T                        , 03-01-2019_       ,19,528,   ,26-03012019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,27-04032019,ctc-bus office april,89.79,0,4/3/2019,P,,104262019,12281,,632,CORDOVA TELEPHONE CO-OP       , 04-03-2019_       ,19,572,   ,27-04032019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,28-04022019,att-bus mar 2019,28.81,0,4/2/2019,P,,104262019,12284,,101243,AT & T                        , 04-02-2019_       ,19,572,   ,28-04022019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,29-03052019,ctc-bus march,90.09,0,3/5/2019,P,,103262019,12013,,632,CORDOVA TELEPHONE CO-OP       , 03-05-2019_       ,19,528,   ,29-03052019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,30-07012018,FY19 Adopted Budget,0,2296,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,30-07012018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,3-10022018,at&t-bus portion,20.22,0,10/2/2018,P,,110262018,10810,,101243,AT & T                        , 10-02-2018_       ,19,249,   ,3-10022018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,4-10022018,att-bus,0.06,0,10/2/2018,P,,110262018,10810,,101243,AT & T                        , 10-02-2018_       ,19,249,   ,4-10022018,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,5-05062019,april bill business,29.45,0,5/6/2019,P,,105262019,12467,,101243,AT & T                        , 05-06-2019_       ,19,665,   ,5-05062019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,6-05032019,bus office share,89.79,0,5/3/2019,P,,105262019,12475,,632,CORDOVA TELEPHONE CO-OP       , 05-03-2019_       ,19,665,   ,6-05032019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,7-06302019,FY19 CC Expenses,25.73,0,6/30/2019,J,1103,,,,         ,                              ,                   ,19,776,   ,7-06302019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,8-06052019,ctc/business line,89.79,0,6/5/2019,P,,106262019,12644,,632,CORDOVA TELEPHONE CO-OP       , 06-05-2019_       ,19,714,   ,8-06052019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Communications,9-06032019,att/business line,26.59,0,6/3/2019,P,,106262019,12648,,101243,AT & T                        , 06-03-2019_       ,19,714,   ,9-06032019,,19,100,600,550,720,433
Cordova City School District,550.Technology.Dues and Fees,1-07012018,FY19 Adopted Budget,0,3000,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,600,550,720,491
Cordova City School District,600.000.Salaries Other Admi,10-04252019,April 25 2019 Payroll PC10,5000,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,10-04252019,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,1-06252019,Payroll June 25 2019 PC12,5000,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,11-02252019,February 25 2019 Payroll PC08,5000,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,11-02252019,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,12-10252018,October 25 2018 Payroll PC04,5000,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,12-10252018,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,2-09252018,Sept 25 2018 Payroll PC03,5000,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,2-09252018,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,3-11232018,November 23 2018 Payroll,5000,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,3-11232018,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,4-12242018,December 24 2018 Payroll,5000,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,4-12242018,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,5-01252019,January 25 2019 Payroll PC07,5000,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,5-01252019,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,6-03252019,March 25 2019 Payroll PC09,5000,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,6-03252019,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,7-07312018,July 25 2018 Payroll PC01,5000,0,7/31/2018,J,984,,,,         ,                              ,                   ,19,51,   ,7-07312018,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,8-08242018,August 24 2018 Payroll,5000,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,8-08242018,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Admi,9-05242019,May 24 2019 Payroll PC11,5000,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,9-05242019,,19,100,600,600,0,314
Cordova City School District,600.000.Salaries Other Non-,1-08242018,August 24 2018 Payroll,5416.67,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,1-08242018,,19,100,600,600,0,321
Cordova City School District,600.000.Salaries Other Non-,2-07012018,FY19 Adopted Budget,0,66000,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,2-07012018,,19,100,600,600,0,321
Cordova City School District,600.000.Insurance - Health/,10-04252019,April 25 2019 Payroll PC10,2133.5,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,10-04252019,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,1-06252019,Payroll June 25 2019 PC12,2208.3,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,11-02252019,February 25 2019 Payroll PC08,2133.5,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,11-02252019,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,12-10252018,October 25 2018 Payroll PC04,2133.5,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,12-10252018,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,13-07012018,FY19 Adopted Budget,0,25600,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,13-07012018,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,2-09252018,Sept 25 2018 Payroll PC03,2133.5,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,2-09252018,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,3-11232018,November 23 2018 Payroll,2133.5,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,3-11232018,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,4-12242018,December 24 2018 Payroll,2133.5,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,4-12242018,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,5-01252019,January 25 2019 Payroll PC07,2133.5,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,5-01252019,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,6-03252019,March 25 2019 Payroll PC09,2133.5,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,6-03252019,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,7-07312018,July 25 2018 Payroll PC01,4267,0,7/31/2018,J,984,,,,         ,                              ,                   ,19,51,   ,7-07312018,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,8-08242018,August 24 2018 Payroll,2133.5,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,8-08242018,,19,100,600,600,0,351
Cordova City School District,600.000.Insurance - Health/,9-05242019,May 24 2019 Payroll PC11,2133.5,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,9-05242019,,19,100,600,600,0,351
Cordova City School District,600.000.FICA Contributions,10-04252019,April 25 2019 Payroll PC10,382.5,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,10-04252019,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,1-06252019,Payroll June 25 2019 PC12,382.5,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,11-02252019,February 25 2019 Payroll PC08,382.5,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,11-02252019,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,12-10252018,October 25 2018 Payroll PC04,382.5,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,12-10252018,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,2-09252018,Sept 25 2018 Payroll PC03,382.5,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,2-09252018,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,3-11232018,November 23 2018 Payroll,382.5,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,3-11232018,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,4-12242018,December 24 2018 Payroll,382.5,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,4-12242018,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,5-01252019,January 25 2019 Payroll PC07,382.5,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,5-01252019,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,6-03252019,March 25 2019 Payroll PC09,382.5,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,6-03252019,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,7-07312018,July 25 2018 Payroll PC01,382.5,0,7/31/2018,J,984,,,,         ,                              ,                   ,19,51,   ,7-07312018,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,8-08242018,August 24 2018 Payroll,796.87,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,8-08242018,,19,100,600,600,0,354
Cordova City School District,600.000.FICA Contributions,9-05242019,May 24 2019 Payroll PC11,382.5,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,9-05242019,,19,100,600,600,0,354
Cordova City School District,600.000.PERS Retire Contrib,10-05242019,May 24 2019 Payroll PC11,1100,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,10-05242019,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,1-06302019,FY19 PERS DCF Credits,0,1966.35,6/30/2019,J,1113,,,,         ,                              ,                   ,19,788,   ,1-06302019,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,11-04252019,April 25 2019 Payroll PC10,1100,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,11-04252019,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,12-02252019,February 25 2019 Payroll PC08,1100,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,12-02252019,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,13-10252018,October 25 2018 Payroll PC04,1100,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,13-10252018,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,2-06252019,Payroll June 25 2019 PC12,1100,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,2-06252019,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,3-09252018,Sept 25 2018 Payroll PC03,1100,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,3-09252018,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,4-11232018,November 23 2018 Payroll,1100,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,4-11232018,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,5-12242018,December 24 2018 Payroll,1100,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,5-12242018,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,6-01252019,January 25 2019 Payroll PC07,1100,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,6-01252019,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,7-03252019,March 25 2019 Payroll PC09,1100,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,7-03252019,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,8-07312018,July 25 2018 Payroll PC01,1100,0,7/31/2018,J,984,,,,         ,                              ,                   ,19,51,   ,8-07312018,,19,100,600,600,0,356
Cordova City School District,600.000.PERS Retire Contrib,9-08242018,August 24 2018 Payroll,2291.67,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,9-08242018,,19,100,600,600,0,356
Cordova City School District,600.000.Insurance - Health/,10-04252019,April 25 2019 Payroll PC10,9.6,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,10-04252019,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,1-06252019,Payroll June 25 2019 PC12,9.6,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,11-02252019,February 25 2019 Payroll PC08,9.6,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,11-02252019,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,12-10252018,October 25 2018 Payroll PC04,9.6,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,12-10252018,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,13-07012018,FY19 Adopted Budget,0,120,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,13-07012018,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,2-09252018,Sept 25 2018 Payroll PC03,9.6,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,2-09252018,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,3-11232018,November 23 2018 Payroll,9.6,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,3-11232018,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,4-12242018,December 24 2018 Payroll,9.6,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,4-12242018,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,5-01252019,January 25 2019 Payroll PC07,9.6,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,5-01252019,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,6-03252019,March 25 2019 Payroll PC09,9.6,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,6-03252019,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,7-07312018,July 25 2018 Payroll PC01,9.6,0,7/31/2018,J,984,,,,         ,                              ,                   ,19,51,   ,7-07312018,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,8-08242018,August 24 2018 Payroll,9.6,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,8-08242018,,19,100,600,600,0,361
Cordova City School District,600.000.Insurance - Health/,9-05242019,May 24 2019 Payroll PC11,9.6,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,9-05242019,,19,100,600,600,0,361
Cordova City School District,600.000.FICA Contributions,1-07012018,FY19 Adopted Budget,0,5049,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,600,600,0,364
Cordova City School District,600.000.PERS Retire Contrib,1-07012018,FY19 Adopted Budget,0,14520,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,600,600,0,366
Cordova City School District,600.000.Professional/Techni,1-07012018,School Dude,1648.24,0,7/1/2018,J,1058,,,,         ,                              ,                   ,19,663,   ,1-07012018,,19,100,600,600,0,410
Cordova City School District,600.000.Professional/Techni,2-07012018,School Dude,385.88,0,7/1/2018,J,1058,,,,         ,                              ,                   ,19,663,   ,2-07012018,,19,100,600,600,0,410
Cordova City School District,600.000.Professional/Techni,3-01302019,reimburse for employment test,14565.81,0,1/30/2019,P,,100005073,11428,,100430,OTIS ELEVATOR COMPANY         , SSA05419219       ,19,430,   ,3-01302019,,19,100,600,600,0,410
Cordova City School District,600.000.Professional/Techni,4-07012018,FY19 Adopted Budget,0,14950,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,4-07012018,,19,100,600,600,0,410
Cordova City School District,600.000.Staff Travel,10-01242019,register/maint conf/10-16-18//,0,380,1/24/2019,O,19000396,,,,527,ASSOC OF ALASKA SCHOOL BOARDS ,                   ,19,405,   ,10-01242019,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,11-07012018,FY19 Adopted Budget,0,1000,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,11-07012018,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,1-11062018,conf-        -maint/pearson/10,267,0,11/6/2018,P,19000397,100004895,10602,,4057,The Lakefront Anchorage       ,76651,19,246,   ,1-11062018,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,2-11062018,conf-        -maint/pearson/10,0,267,11/6/2018,P,19000397,,10602,,4057,The Lakefront Anchorage       ,                   ,19,246,   ,2-11062018,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,3-09132018,register/maint conf/10-16-18//,380,0,9/13/2018,O,19000396,,,,527,ASSOC OF ALASKA SCHOOL BOARDS ,                   ,19,122,   ,3-09132018,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,4-09132018,conf-        -maint/pearson/10,267,0,9/13/2018,O,19000397,,,,4057,The Lakefront Anchorage       ,                   ,19,122,   ,4-09132018,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,5-09132018,perdiem/maint conf/anc/10-16-1,153,0,9/13/2018,O,19000400,,,,7358,Pearson Joshua                ,                   ,19,122,   ,5-09132018,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,6-09112018,akair-      -maint conf-10-16-,299.19,0,9/11/2018,P,,109262018,10310,,301,ALASKA AIRLINES  INC          , 09-11-2018_       ,19,148,   ,6-09112018,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,7-09192018,perdiem/maint conf/anc/10-16-1,153,0,9/19/2018,P,19000400,AC00100581,10188,,7358,Pearson Joshua                ,10162018,19,129,   ,7-09192018,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,8-09192018,perdiem/maint conf/anc/10-16-1,0,153,9/19/2018,P,19000400,,10188,,7358,Pearson Joshua                ,                   ,19,129,   ,8-09192018,,19,100,600,600,0,420
Cordova City School District,600.000.Staff Travel,9-09062018,register/josh pearson/maint/9-,380,0,9/6/2018,P,,100004656,10068,,527,ASSOC OF ALASKA SCHOOL BOARDS , 09-06-2018_       ,19,98,   ,9-09062018,,19,100,600,600,0,420
Cordova City School District,600.000.Utility Services,1-06302019,FY19 City In-Kind Q3-4 Utiliti,54016.92,0,6/30/2019,J,1084,,,,         ,                              ,                   ,19,740,   ,1-06302019,,19,100,600,600,0,430
Cordova City School District,600.000.Utility Services,2-12312018,City In-Kind Utilities July-De,8329.59,0,12/31/2018,J,1035,,,,         ,                              ,                   ,19,552,   ,2-12312018,,19,100,600,600,0,430
Cordova City School District,600.000.Utility Services,3-12312018,City In-Kind Utilities July-De,18601.17,0,12/31/2018,J,1035,,,,         ,                              ,                   ,19,552,   ,3-12312018,,19,100,600,600,0,430
Cordova City School District,600.000.Utility Services,4-07012018,FY19 Adopted Budget,0,38000,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,4-07012018,,19,100,600,600,0,430
Cordova City School District,600.000.Communications,1-08012018,att/maint/share,21.79,0,8/1/2018,P,,108262018,10017,,101243,AT & T                        , 08-01-2018_       ,19,92,   ,1-08012018,,19,100,600,600,0,433
Cordova City School District,600.000.Communications,2-01022019,att-dec-18-maint bill,24.78,0,1/2/2019,P,,101262019,11545,,101243,AT & T                        , 01-02-2019_       ,19,441,   ,2-01022019,,19,100,600,600,0,433
Cordova City School District,600.000.Other Purchased Ser,10-11062018,736651-737021=tire change/lamp,224,0,11/6/2018,P,,100004868,10605,,20,ANCHOR AUTO/MARINE  INC.      ,10312018,19,247,   ,10-11062018,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,1-06052019,tire change over/balance van,128,0,6/5/2019,P,,100005353,12505,,20,ANCHOR AUTO/MARINE  INC.      ,5312019,19,668,   ,1-06052019,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,11-07012018,FY19 Adopted Budget,0,8000,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,11-07012018,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,2-06052019,hamberger/van windshield wiper,11.69,0,6/5/2019,P,,100005353,12505,,20,ANCHOR AUTO/MARINE  INC.      ,5312019,19,668,   ,2-06052019,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,3-12172018,november-18 services,670.02,0,12/17/2018,P,,100004994,11114,,8176,Johnson Controls Fire Protecti,20607555,19,343,   ,3-12172018,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,4-12142018,misc gas-18.186@3.72//11-17-18,67.69,0,12/14/2018,P,,112262018,11294,,101813,SHORESIDE PETROLEUM-SEWARD    , 12-14-2018_       ,19,363,   ,4-12142018,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,5-12142018,maint-21.468@3.7351//11-21-18,80.19,0,12/14/2018,P,,112262018,11294,,101813,SHORESIDE PETROLEUM-SEWARD    , 12-14-2018_       ,19,363,   ,5-12142018,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,6-08282018,repair on short bus/warga,155.41,0,8/28/2018,P,,100004643,9913,,101871,PERKINS AUTO REPAIR           , A4                ,19,88,   ,6-08282018,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,7-05092019,school van tire change over,128,0,5/9/2019,P,,100005291,12327,,20,ANCHOR AUTO/MARINE  INC.      ,743557,19,595,   ,7-05092019,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,8-04122019,taylor fire-HS yrly inspection,1271,0,4/12/2019,P,,104262019,12256,,100570,TAYLOR FIRE PROTECTION SERVICE, 04-12-2019_       ,19,572,   ,8-04122019,,19,100,600,600,0,440
Cordova City School District,600.000.Other Purchased Ser,9-04122019,taylor-mte fire inspections,1147,0,4/12/2019,P,,104262019,12257,,100570,TAYLOR FIRE PROTECTION SERVICE, 04-12-2019_       ,19,572,   ,9-04122019,,19,100,600,600,0,440
Cordova City School District,600.000.Building Repair/Mai,10-08062018,hs/key/core/handles/josh,503,0,8/6/2018,P,,108262018,9931,,3867,One time Vendor               , 08-06-2018_       ,19,92,   ,10-08062018,,19,100,600,600,0,442
Cordova City School District,600.000.Building Repair/Mai,11-09112018,tech room repair/to date,3065,0,9/11/2018,P,,100004687,10150,,101489,NORTHERN LIGHTS ELECTRIAL     ,957,19,114,   ,11-09112018,,19,100,600,600,0,442
Cordova City School District,600.000.Building Repair/Mai,1-11122018,hs lab vent/repairs,1388.2,0,11/12/2018,P,,100004866,10595,,6386,"Old Town Enterprises, LLC     ", 110618-01         ,19,255,   ,1-11122018,,19,100,600,600,0,442
Cordova City School District,600.000.Building Repair/Mai,12-09112018,jared/joist hanger plywood/sup,126.74,0,9/11/2018,P,,100004686,10157,,598,NORTH STAR LUMBER CO          ,122337,19,114,   ,12-09112018,,19,100,600,600,0,442
Cordova City School District,600.000.Building Repair/Mai,13-09112018,pearson-bldng supplies,53.3,0,9/11/2018,P,,100004686,10153,,598,NORTH STAR LUMBER CO          ,122484,19,114,   ,13-09112018,,19,100,600,600,0,442
